instance_id,N,iteration_number,gurobi_energy,gurobi_time,annealer_energy,annealer_time,energy_difference
2655bdc3-a310-4aea-bd10-465e127cc553,256,1,-3070.0,10.580214023590088,-3070.0,0.19713115692138672,0.0
2655bdc3-a310-4aea-bd10-465e127cc553,256,2,-3070.0,10.580214023590088,-3070.0,0.19492650032043457,0.0
2655bdc3-a310-4aea-bd10-465e127cc553,256,3,-3070.0,10.580214023590088,-3070.0,0.18891000747680664,0.0
2655bdc3-a310-4aea-bd10-465e127cc553,256,4,-3070.0,10.580214023590088,-3070.0,0.19816160202026367,0.0
2655bdc3-a310-4aea-bd10-465e127cc553,256,5,-3070.0,10.580214023590088,-3070.0,0.22350668907165527,0.0
2655bdc3-a310-4aea-bd10-465e127cc553,256,6,-3070.0,10.580214023590088,-3070.0,0.20156288146972656,0.0
2655bdc3-a310-4aea-bd10-465e127cc553,256,7,-3070.0,10.580214023590088,-3070.0,0.2059478759765625,0.0
2655bdc3-a310-4aea-bd10-465e127cc553,256,8,-3070.0,10.580214023590088,-3070.0,0.19585132598876953,0.0
2655bdc3-a310-4aea-bd10-465e127cc553,256,9,-3070.0,10.580214023590088,-3070.0,0.1897869110107422,0.0
2655bdc3-a310-4aea-bd10-465e127cc553,256,10,-3070.0,10.580214023590088,-3070.0,0.2348465919494629,0.0
2655bdc3-a310-4aea-bd10-465e127cc553,256,11,-3070.0,10.580214023590088,-3070.0,0.23082661628723145,0.0
2655bdc3-a310-4aea-bd10-465e127cc553,256,12,-3070.0,10.580214023590088,-3070.0,0.19310379028320312,0.0
2655bdc3-a310-4aea-bd10-465e127cc553,256,13,-3070.0,10.580214023590088,-3070.0,0.1888136863708496,0.0
2655bdc3-a310-4aea-bd10-465e127cc553,256,14,-3070.0,10.580214023590088,-3070.0,0.18668174743652344,0.0
2655bdc3-a310-4aea-bd10-465e127cc553,256,15,-3070.0,10.580214023590088,-3070.0,0.17792201042175293,0.0
2655bdc3-a310-4aea-bd10-465e127cc553,256,16,-3070.0,10.580214023590088,-3070.0,0.18753695487976074,0.0
2655bdc3-a310-4aea-bd10-465e127cc553,256,17,-3070.0,10.580214023590088,-3070.0,0.17266082763671875,0.0
2655bdc3-a310-4aea-bd10-465e127cc553,256,18,-3070.0,10.580214023590088,-3070.0,0.18351173400878906,0.0
2655bdc3-a310-4aea-bd10-465e127cc553,256,19,-3070.0,10.580214023590088,-3070.0,0.17196369171142578,0.0
73d5b29f-72e7-46a5-a23c-bca22eff596c,256,0,-3134.0,10.572017669677734,-3134.0,0.17328977584838867,0.0
73d5b29f-72e7-46a5-a23c-bca22eff596c,256,1,-3134.0,10.572017669677734,-3134.0,0.19088244438171387,0.0
73d5b29f-72e7-46a5-a23c-bca22eff596c,256,2,-3134.0,10.572017669677734,-3134.0,0.17621588706970215,0.0
73d5b29f-72e7-46a5-a23c-bca22eff596c,256,3,-3134.0,10.572017669677734,-3134.0,0.17580604553222656,0.0
73d5b29f-72e7-46a5-a23c-bca22eff596c,256,4,-3134.0,10.572017669677734,-3134.0,0.171309232711792,0.0
73d5b29f-72e7-46a5-a23c-bca22eff596c,256,5,-3134.0,10.572017669677734,-3134.0,0.2136397361755371,0.0
73d5b29f-72e7-46a5-a23c-bca22eff596c,256,6,-3134.0,10.572017669677734,-3134.0,0.1708691120147705,0.0
73d5b29f-72e7-46a5-a23c-bca22eff596c,256,7,-3134.0,10.572017669677734,-3134.0,0.1917717456817627,0.0
73d5b29f-72e7-46a5-a23c-bca22eff596c,256,8,-3134.0,10.572017669677734,-3134.0,0.1831204891204834,0.0
73d5b29f-72e7-46a5-a23c-bca22eff596c,256,9,-3134.0,10.572017669677734,-3134.0,0.17079925537109375,0.0
73d5b29f-72e7-46a5-a23c-bca22eff596c,256,10,-3134.0,10.572017669677734,-3134.0,0.21165084838867188,0.0
73d5b29f-72e7-46a5-a23c-bca22eff596c,256,11,-3134.0,10.572017669677734,-3134.0,0.1758708953857422,0.0
73d5b29f-72e7-46a5-a23c-bca22eff596c,256,12,-3134.0,10.572017669677734,-3134.0,0.18496417999267578,0.0
73d5b29f-72e7-46a5-a23c-bca22eff596c,256,13,-3134.0,10.572017669677734,-3134.0,0.1720447540283203,0.0
73d5b29f-72e7-46a5-a23c-bca22eff596c,256,14,-3134.0,10.572017669677734,-3134.0,0.18225812911987305,0.0
73d5b29f-72e7-46a5-a23c-bca22eff596c,256,15,-3134.0,10.572017669677734,-3134.0,0.17401599884033203,0.0
73d5b29f-72e7-46a5-a23c-bca22eff596c,256,16,-3134.0,10.572017669677734,-3134.0,0.1707305908203125,0.0
73d5b29f-72e7-46a5-a23c-bca22eff596c,256,17,-3134.0,10.572017669677734,-3134.0,0.2069244384765625,0.0
73d5b29f-72e7-46a5-a23c-bca22eff596c,256,18,-3134.0,10.572017669677734,-3134.0,0.17528676986694336,0.0
73d5b29f-72e7-46a5-a23c-bca22eff596c,256,19,-3134.0,10.572017669677734,-3134.0,0.18831467628479004,0.0
b415ae12-396b-4179-b5ae-74be44ebe8b6,256,0,-3156.0,10.588063478469849,-3156.0,0.2167525291442871,0.0
b415ae12-396b-4179-b5ae-74be44ebe8b6,256,1,-3156.0,10.588063478469849,-3156.0,0.18888449668884277,0.0
b415ae12-396b-4179-b5ae-74be44ebe8b6,256,2,-3156.0,10.588063478469849,-3156.0,0.1823570728302002,0.0
b415ae12-396b-4179-b5ae-74be44ebe8b6,256,3,-3156.0,10.588063478469849,-3156.0,0.17592930793762207,0.0
b415ae12-396b-4179-b5ae-74be44ebe8b6,256,4,-3156.0,10.588063478469849,-3156.0,0.1779491901397705,0.0
