Trial,Initial Temperature,Final Temperature,Alpha,Num Iterations,Num Runs,Offset Increase Rate,Energy,Time
0,114.81725653462924,0.006473578844710995,0.9202620093676548,582,467,8.85305550300934,-3044.3567358398436,0.5557204103469848
1,116.81581888091843,0.0010631101237582666,0.9719272757094861,667,890,6.791243602662998,-3044.445947265625,0.6143583655357361
2,166.5988820498897,0.009845052704130046,0.9697941661275424,205,463,1.9793674229701428,-3043.878322753906,0.19775066375732422
3,94.93716617699823,0.0012981976710820377,0.907681457800591,703,286,8.314615529390741,-3044.237197265625,0.6722876048088073
4,81.38091167435985,0.004044323730761524,0.975980349490294,905,733,6.161072778988776,-3044.4203369140623,0.7771351766586304
5,104.32587348357573,0.0012214414517836634,0.9261799331926232,835,416,8.58121463422148,-3044.432429199219,0.8029581308364868
6,78.4770690349209,0.005170494582751552,0.9321726712247422,470,624,8.335373974023222,-3044.421984863281,0.4281207680702209
7,123.42284927823783,0.0011698978134656868,0.9895913129642311,990,260,8.88237268819438,-3044.44595703125,0.9002060604095459
8,138.2372586181935,0.005964747456255495,0.9328295830858635,515,500,8.914109231731604,-3044.3813549804686,0.48637971401214597
9,167.3544293406488,0.006467564370788914,0.9704495816579738,409,689,3.836657504800613,-3044.4459375,0.3565135741233826
10,73.27735604334202,0.002828704212260555,0.9479011761154826,556,114,1.3043865723225903,-3038.6854956054685,0.5176926946640015
11,102.76988987735561,0.0038725919580969185,0.9231083542489126,633,680,1.5270380617452533,-3043.742468261719,0.5518817210197449
12,134.26581834088302,0.0039423452080251855,0.9797468571828853,712,751,9.32528074678208,-3044.4459375,0.6064443063735961
13,51.66965192847185,0.009416378933717887,0.9796379990670285,728,839,0.8909500102636723,-3044.4219946289063,0.6453610563278198
14,119.78066553240468,0.0012215405455205204,0.982571007414021,644,368,9.580862322533262,-3044.445947265625,0.6073572969436646
15,98.45461226151066,0.008691183916468868,0.9021122007662664,857,574,9.080939706792176,-3044.445947265625,0.805968325138092
16,98.08241749561411,0.00478960080413891,0.9496358358671753,376,421,6.875058818581202,-3044.1080419921873,0.3648938608169556
17,92.65259457409829,0.004554923121003118,0.9016477001966925,772,769,1.487689708071648,-3043.7013134765625,0.6859369468688965
18,94.76689449959105,0.0038326010496321315,0.9025862851741046,841,535,1.9398766938002496,-3043.9032568359376,0.7831391644477844
19,64.18431787979364,0.006875892994663274,0.9495257727910418,615,621,0.3274644048320654,-3042.8417700195314,0.552367000579834
20,149.5779684349572,0.0007059082366179105,0.9282807783942428,666,805,6.64153314204418,-3044.445947265625,0.5996808123588562
21,68.33133661408826,0.0011429293000418425,0.9403979780568338,152,454,7.414065769466642,-3043.51310546875,0.1436860466003418
22,112.93648493331258,0.006733278160103148,0.9089195212253525,665,306,8.02656566085,-3044.156735839844,0.6352257609367371
23,58.72552062679698,0.003010540500642817,0.9320674227697702,669,347,1.963839987633956,-3043.3602514648437,0.631859815120697
24,187.7992276325697,0.0017209940106003522,0.9268688658228627,368,376,7.540375474608053,-3043.996279296875,0.34573648691177367
25,66.5788357254074,0.005827365661640103,0.9489869793003387,164,907,1.6414025237549767,-3043.7453295898435,0.15967764377593993
26,166.26192235648836,0.008212658283214293,0.9077685333131873,223,215,2.768975071182574,-3036.9788671875,0.20281875848770142
27,186.6929990420803,0.008680205513567716,0.922721281243097,584,219,1.256382576773829,-3040.315187988281,0.5282725620269776
28,74.60107519295426,0.0022103841894381094,0.9836949994749268,848,184,8.230557351585142,-3044.422717285156,0.7762067484855651
29,110.37058268513695,0.004732050022617282,0.9821821240257922,451,507,2.827585087443329,-3044.4152709960936,0.42225285053253175
30,126.75469847108923,0.007824816432168966,0.9003696928473119,924,425,2.695647787725714,-3043.4537255859377,0.8738259768486023
31,125.73708856203393,0.0025112460646701945,0.9216086218352175,830,777,3.930323374496693,-3044.36763671875,0.7498590278625489
32,160.88789097446494,0.000982037703671905,0.9697252621497732,619,678,1.7560725555613008,-3044.3620532226564,0.553726806640625
33,177.08318980122976,0.003750926535071149,0.9752915253724009,216,297,4.077542017083066,-3042.8932495117188,0.20507116317749025
34,62.38199116531392,0.0023193355962359366,0.9690221600117549,424,543,5.502946376726794,-3044.4203466796876,0.39784074544906617
35,170.26263819148596,0.0034366238531424995,0.9699912975531898,878,105,1.5480607250883365,-3041.7179663085935,0.8210136747360229
36,169.6505955225178,0.008233032092805322,0.9329828275462854,866,987,6.8799452182514305,-3044.445947265625,0.7771382689476013
37,148.2864018932051,0.0009894750450326062,0.9390798843945148,953,638,9.54763403466015,-3044.4459375,0.8621055507659912
38,110.64090029852329,0.00550554036088959,0.9138785403938456,770,212,6.690743040635918,-3043.709638671875,0.7044887638092041
39,191.07180312962237,0.005841269436376348,0.9472338942306936,134,720,5.6426229364024305,-3042.8557763671874,0.1268693494796753
40,55.08841622835471,0.006366873463181432,0.9013528412240743,138,390,6.260853486720976,-3040.864875488281,0.13398780584335326
41,190.4126038907875,0.008420999516095458,0.9373381764685992,871,741,8.738221201088425,-3044.422702636719,0.7507798099517822
42,147.3954831567779,0.007669034160211075,0.9088269087504042,724,816,3.5840156026975247,-3044.2455224609375,0.64756822347641
43,129.23336641961438,0.004424705294581018,0.967867328084933,952,716,8.548264352092234,-3044.4459375,0.8310182237625122
