instance_id,N,iteration_number,gurobi_energy,gurobi_time,annealer_energy,annealer_time,energy_difference
5498c975-784c-4dca-8073-2973e5aee4d0,676,0,-13240.0,24.07924771308899,-13228.0,0.8281121253967285,12.0
5498c975-784c-4dca-8073-2973e5aee4d0,676,1,-13240.0,24.07924771308899,-13234.0,0.7224695682525635,6.0
5498c975-784c-4dca-8073-2973e5aee4d0,676,2,-13240.0,24.07924771308899,-13240.0,0.7088797092437744,0.0
5498c975-784c-4dca-8073-2973e5aee4d0,676,3,-13240.0,24.07924771308899,-13232.0,0.772925615310669,8.0
5498c975-784c-4dca-8073-2973e5aee4d0,676,4,-13240.0,24.07924771308899,-13232.0,0.7472584247589111,8.0
5498c975-784c-4dca-8073-2973e5aee4d0,676,5,-13240.0,24.07924771308899,-13230.0,0.7889342308044434,10.0
5498c975-784c-4dca-8073-2973e5aee4d0,676,6,-13240.0,24.07924771308899,-13240.0,0.719477653503418,0.0
5498c975-784c-4dca-8073-2973e5aee4d0,676,7,-13240.0,24.07924771308899,-13234.0,0.7682855129241943,6.0
5498c975-784c-4dca-8073-2973e5aee4d0,676,8,-13240.0,24.07924771308899,-13234.0,0.7512943744659424,6.0
5498c975-784c-4dca-8073-2973e5aee4d0,676,9,-13240.0,24.07924771308899,-13232.0,0.7666912078857422,8.0
78c83f5a-f121-4287-8771-d13b6796c86b,676,0,-13224.0,24.07698678970337,-13222.0,0.77052903175354,2.0
78c83f5a-f121-4287-8771-d13b6796c86b,676,1,-13224.0,24.07698678970337,-13216.0,0.7243030071258545,8.0
78c83f5a-f121-4287-8771-d13b6796c86b,676,2,-13224.0,24.07698678970337,-13222.0,0.7330417633056641,2.0
78c83f5a-f121-4287-8771-d13b6796c86b,676,3,-13224.0,24.07698678970337,-13220.0,0.7273247241973877,4.0
78c83f5a-f121-4287-8771-d13b6796c86b,676,4,-13224.0,24.07698678970337,-13220.0,0.7268857955932617,4.0
78c83f5a-f121-4287-8771-d13b6796c86b,676,5,-13224.0,24.07698678970337,-13224.0,0.7360851764678955,0.0
78c83f5a-f121-4287-8771-d13b6796c86b,676,6,-13224.0,24.07698678970337,-13224.0,0.7261214256286621,0.0
78c83f5a-f121-4287-8771-d13b6796c86b,676,7,-13224.0,24.07698678970337,-13222.0,0.7621273994445801,2.0
78c83f5a-f121-4287-8771-d13b6796c86b,676,8,-13224.0,24.07698678970337,-13222.0,0.7420732975006104,2.0
78c83f5a-f121-4287-8771-d13b6796c86b,676,9,-13224.0,24.07698678970337,-13218.0,0.7546679973602295,6.0
07e3b5b0-ebec-4008-95a9-377cdb929528,676,0,-13142.0,24.07910418510437,-13158.0,0.8620128631591797,-16.0
07e3b5b0-ebec-4008-95a9-377cdb929528,676,1,-13142.0,24.07910418510437,-13168.0,0.7582149505615234,-26.0
07e3b5b0-ebec-4008-95a9-377cdb929528,676,2,-13142.0,24.07910418510437,-13172.0,0.7410063743591309,-30.0
07e3b5b0-ebec-4008-95a9-377cdb929528,676,3,-13142.0,24.07910418510437,-13174.0,0.8186326026916504,-32.0
07e3b5b0-ebec-4008-95a9-377cdb929528,676,4,-13142.0,24.07910418510437,-13174.0,0.9951531887054443,-32.0
07e3b5b0-ebec-4008-95a9-377cdb929528,676,5,-13142.0,24.07910418510437,-13174.0,0.9082736968994141,-32.0
07e3b5b0-ebec-4008-95a9-377cdb929528,676,6,-13142.0,24.07910418510437,-13174.0,1.3947627544403076,-32.0
07e3b5b0-ebec-4008-95a9-377cdb929528,676,7,-13142.0,24.07910418510437,-13168.0,1.543116807937622,-26.0
07e3b5b0-ebec-4008-95a9-377cdb929528,676,8,-13142.0,24.07910418510437,-13168.0,1.6230764389038086,-26.0
07e3b5b0-ebec-4008-95a9-377cdb929528,676,9,-13142.0,24.07910418510437,-13166.0,1.2330739498138428,-24.0
b6261bf4-5ee2-4d32-9aa6-8c83a95edbcf,676,0,-13134.0,24.131492614746094,-13132.0,1.3198249340057373,2.0
b6261bf4-5ee2-4d32-9aa6-8c83a95edbcf,676,1,-13134.0,24.131492614746094,-13132.0,1.1603190898895264,2.0
b6261bf4-5ee2-4d32-9aa6-8c83a95edbcf,676,2,-13134.0,24.131492614746094,-13126.0,1.2334837913513184,8.0
b6261bf4-5ee2-4d32-9aa6-8c83a95edbcf,676,3,-13134.0,24.131492614746094,-13134.0,1.2456133365631104,0.0
b6261bf4-5ee2-4d32-9aa6-8c83a95edbcf,676,4,-13134.0,24.131492614746094,-13134.0,1.2105028629302979,0.0
b6261bf4-5ee2-4d32-9aa6-8c83a95edbcf,676,5,-13134.0,24.131492614746094,-13132.0,1.1169798374176025,2.0
b6261bf4-5ee2-4d32-9aa6-8c83a95edbcf,676,6,-13134.0,24.131492614746094,-13134.0,1.2146799564361572,0.0
b6261bf4-5ee2-4d32-9aa6-8c83a95edbcf,676,7,-13134.0,24.131492614746094,-13126.0,1.1041820049285889,8.0
b6261bf4-5ee2-4d32-9aa6-8c83a95edbcf,676,8,-13134.0,24.131492614746094,-13128.0,1.0051007270812988,6.0
b6261bf4-5ee2-4d32-9aa6-8c83a95edbcf,676,9,-13134.0,24.131492614746094,-13134.0,1.0586833953857422,0.0
e308cb3c-d2ea-46ad-a4fc-0036982ddc3d,676,0,-13324.0,24.045435428619385,-13324.0,1.0450780391693115,0.0
e308cb3c-d2ea-46ad-a4fc-0036982ddc3d,676,1,-13324.0,24.045435428619385,-13324.0,1.0512089729309082,0.0
e308cb3c-d2ea-46ad-a4fc-0036982ddc3d,676,2,-13324.0,24.045435428619385,-13324.0,1.0310900211334229,0.0
e308cb3c-d2ea-46ad-a4fc-0036982ddc3d,676,3,-13324.0,24.045435428619385,-13324.0,1.102140188217163,0.0
e308cb3c-d2ea-46ad-a4fc-0036982ddc3d,676,4,-13324.0,24.045435428619385,-13324.0,1.0144145488739014,0.0
e308cb3c-d2ea-46ad-a4fc-0036982ddc3d,676,5,-13324.0,24.045435428619385,-13324.0,1.0630123615264893,0.0
e308cb3c-d2ea-46ad-a4fc-0036982ddc3d,676,6,-13324.0,24.045435428619385,-13324.0,1.0979557037353516,0.0
e308cb3c-d2ea-46ad-a4fc-0036982ddc3d,676,7,-13324.0,24.045435428619385,-13324.0,1.1128182411193848,0.0
e308cb3c-d2ea-46ad-a4fc-0036982ddc3d,676,8,-13324.0,24.045435428619385,-13324.0,1.2530231475830078,0.0
e308cb3c-d2ea-46ad-a4fc-0036982ddc3d,676,9,-13324.0,24.045435428619385,-13324.0,1.334240436553955,0.0
b70de961-d2a4-4a8d-bd65-daa0188ae821,676,0,-13372.0,24.03549289703369,-13372.0,1.2119877338409424,0.0
b70de961-d2a4-4a8d-bd65-daa0188ae821,676,1,-13372.0,24.03549289703369,-13372.0,1.35874605178833,0.0
b70de961-d2a4-4a8d-bd65-daa0188ae821,676,2,-13372.0,24.03549289703369,-13372.0,1.196105718612671,0.0
b70de961-d2a4-4a8d-bd65-daa0188ae821,676,3,-13372.0,24.03549289703369,-13372.0,1.158769130706787,0.0
b70de961-d2a4-4a8d-bd65-daa0188ae821,676,4,-13372.0,24.03549289703369,-13372.0,1.1981711387634277,0.0
b70de961-d2a4-4a8d-bd65-daa0188ae821,676,5,-13372.0,24.03549289703369,-13372.0,1.155132532119751,0.0
b70de961-d2a4-4a8d-bd65-daa0188ae821,676,6,-13372.0,24.03549289703369,-13372.0,1.0541446208953857,0.0
b70de961-d2a4-4a8d-bd65-daa0188ae821,676,7,-13372.0,24.03549289703369,-13372.0,1.0719187259674072,0.0
b70de961-d2a4-4a8d-bd65-daa0188ae821,676,8,-13372.0,24.03549289703369,-13372.0,1.2953436374664307,0.0
b70de961-d2a4-4a8d-bd65-daa0188ae821,676,9,-13372.0,24.03549289703369,-13372.0,1.1276161670684814,0.0
4fdb9b1e-a1d3-4fce-92df-0d2340da80cf,676,0,-13134.0,24.09057927131653,-13150.0,1.2728214263916016,-16.0
4fdb9b1e-a1d3-4fce-92df-0d2340da80cf,676,1,-13134.0,24.09057927131653,-13148.0,1.016880989074707,-14.0
4fdb9b1e-a1d3-4fce-92df-0d2340da80cf,676,2,-13134.0,24.09057927131653,-13150.0,1.2298212051391602,-16.0
4fdb9b1e-a1d3-4fce-92df-0d2340da80cf,676,3,-13134.0,24.09057927131653,-13150.0,1.019148349761963,-16.0
4fdb9b1e-a1d3-4fce-92df-0d2340da80cf,676,4,-13134.0,24.09057927131653,-13150.0,1.0651354789733887,-16.0
4fdb9b1e-a1d3-4fce-92df-0d2340da80cf,676,5,-13134.0,24.09057927131653,-13152.0,1.0500245094299316,-18.0
