Trial,Initial Temperature,Final Temperature,Alpha,Num Iterations,Num Runs,Offset Increase Rate,Energy,Time
2,126.25103021535821,0.0015031043124198252,0.9517697293190777,1090,1692,423.413692877607,-16361.44,1.1355420541763306
3,116.44248902789899,0.006940782264078671,0.9732401407569194,838,522,396.85956062800676,-16432.3,0.6058305191993714
4,177.62723319478323,0.005853923765892653,0.9092893518292937,996,1494,254.07462167905874,-16239.94,0.9208371019363404
5,130.7546159136256,0.0037937615692957834,0.9839897325370054,890,1131,316.1837071667621,-16531.54,0.6981092476844788
6,53.512599152655014,0.0016792127239926055,0.9311962287087348,1364,1346,263.2651131879748,-16268.76,1.1747514700889587
7,109.63830677131551,0.0027563448464692354,0.9324342288902051,1390,509,114.71335335363413,-16411.78,1.0003834295272827
8,107.97473335351663,0.0013722022431262744,0.9506272144310668,1115,1153,177.15091327231153,-16330.48,0.8814677381515503
9,72.03320186324436,0.007731025281817404,0.9115919439580829,1333,1299,396.2332825908321,-16247.52,1.1245827960968018
10,173.87703362202626,0.005755320583105344,0.9278765856809369,1881,886,379.9146882073428,-16257.9,1.3872457146644592
11,119.39117504788831,0.0012812986663652442,0.9606763709016408,1279,907,47.9866444169111,-16580.8,0.959525797367096
12,192.59226372591345,0.0008615606080202866,0.934690304713765,669,1159,429.41722364849977,-16270.3,0.5324440383911133
13,138.80585725229332,0.005192313930415995,0.9018935045177977,916,1858,185.87666755117613,-16242.18,1.021513011455536
14,90.85186256554275,0.008941158971637808,0.9670989416201059,1408,1304,288.66796306931764,-16431.94,1.1755826878547668
15,136.8820639633215,0.007178250245654137,0.9260426393785083,1154,1512,414.70592877282644,-16271.04,1.0638076424598695
16,95.78511227548236,0.003962443558867493,0.9495651646866639,791,1068,429.4761103698154,-16319.96,0.6032185888290406
17,133.56103591980235,0.0038667761302610256,0.9232786487051615,1665,1675,161.76313210825407,-16280.96,1.6905971026420594
18,184.54250013149655,0.003484659207927457,0.9693367618141525,756,1412,6.240405425360915,-16519.72,0.6763453793525696
19,152.02549380034256,0.005330907061210967,0.9096612159989192,693,978,52.2689430609289,-16569.34,0.5114473557472229
20,81.57805400999735,0.0011661519284372798,0.9178670914929691,925,1331,396.58028473691695,-16234.5,0.7827912497520447
21,157.74651617266164,0.004727500758237932,0.9848861892647396,717,564,5.555070180049351,-16540.82,0.5176943159103393
22,81.15110094348685,0.006666988789855303,0.9024129284081046,1446,753,435.2308356822894,-16199.1,1.026337857246399
23,162.4184259659947,0.007785550693247056,0.9630510963305399,1968,1444,474.84616069829696,-16414.44,1.7779560708999633
24,194.9871239299648,0.0026781043114329863,0.9507498402256765,1335,607,23.67385709720937,-16559.32,0.9584807634353638
25,171.9336529587713,0.00998013346469717,0.9347767730973329,1311,873,394.69294162879635,-16254.98,0.9608938455581665
26,67.21081963010036,0.004895794503537565,0.9666284816931023,1698,852,37.46582231096005,-16581.34,1.2458967423439027
27,183.32351898489622,0.007561463144845034,0.9752196947622944,1589,834,67.54303196599452,-16577.08,1.1672523498535157
28,119.45757711764594,0.008864597690448088,0.9586679642000369,1293,500,423.389903765681,-16352.32,0.9229955339431762
29,134.02096163344254,0.002022765144474137,0.9373007402604214,1822,1155,341.38241355324453,-16284.14,1.431541039943695
30,69.7508514838936,0.008835702700598202,0.9669612633427818,1757,1671,377.9544763340197,-16436.26,1.7770872926712036
31,54.27482662920298,0.007887899642238629,0.965539932632383,596,922,97.60102224213696,-16496.56,0.43506756782531736
32,114.7112595621392,0.006691783724325258,0.9488323088619021,888,1042,40.91069414373916,-16572.46,0.6774009847640992
33,98.14590037773527,0.00032313517903705455,0.9869121451905019,793,855,375.66351700462826,-16541.38,0.5809356617927551
34,122.54084883480209,0.0014917623902302275,0.923475517458636,1256,1775,27.62388142392006,-16574.36,1.3004633593559265
35,168.15635097272943,0.006769931074223657,0.9704776269062815,1993,646,100.898707695809,-16517.36,1.4040966606140137
36,142.69629888217077,0.0056410502544175884,0.9468870528991756,1708,1452,146.0680160340485,-16341.88,1.5448503708839416
37,185.4312885731258,0.005336739276404702,0.9859735834715938,887,1556,148.0289343492976,-16549.64,0.8523698282241822
38,78.84278912115593,0.0015024756965258544,0.9014686694640426,990,1192,5.671930976751145,-16442.36,0.7754705047607422
39,59.802744499746765,0.006402839403901683,0.9781543221281169,1644,876,189.72838108471134,-16490.26,1.205099766254425
40,66.05602058548685,0.009456684819344007,0.9302639439244705,570,1388,312.5821210541629,-16255.26,0.4885882806777954
41,110.01206158955054,0.0061454600704007765,0.9886972623277005,627,643,315.0413286174534,-16547.18,0.44008664846420287
42,163.62218114959745,0.0062187804163485755,0.9833424340056963,1787,1699,92.29473966095209,-16557.66,1.820350170135498
43,120.36470935596736,0.005030250857773214,0.9377271015280971,1375,1035,2.7944783809276803,-16433.36,1.049995050430298
44,144.73065318151774,0.0002313144841359286,0.9692803340350986,853,1749,243.43906954590835,-16459.98,0.8831679749488831
45,166.92023934847452,0.009932863640689769,0.9402690507570841,1793,705,84.4509787742867,-16558.32,1.2633596920967103
46,98.98980795250864,0.002317435227579636,0.9797498466022794,1995,883,79.18143502835899,-16568.88,1.4571445083618164
47,155.60229439626858,0.0032819312072759716,0.9481702534065025,1821,706,1.0642006771313781,-16400.38,1.2878722214698792
48,65.88268003491056,0.007164052894198534,0.9031557788746691,1611,789,247.4666099236326,-16220.16,1.1613320684432984
49,54.598042208288064,0.009169315652579195,0.980284263848779,1230,852,175.37723524496303,-16500.12,0.896776156425476
50,103.75512102176641,0.00017618168199642472,0.9199078037630014,1351,1495,460.2050131882586,-16260.24,1.2440832495689391
51,119.30730378496955,0.007264385628003183,0.9286591660601131,1989,1550,13.8620075984957,-16534.7,1.9118084335327148
