Trial,Initial Temperature,Final Temperature,Alpha,Num Iterations,Num Runs,Offset Increase Rate,Energy,Time
0,81.86947796341674,0.003264414125867568,0.9751962744455633,363,305,6.969639870884643,-5987.130688476563,0.2615677285194397
1,140.09981385301916,0.0006649154147094205,0.9272451482167852,426,617,6.723770376926908,-5985.293120117188,0.30430513858795166
2,105.21546457136807,0.002270731741806808,0.9115367401616251,857,763,3.3767218107526125,-5984.276665039062,0.6026404070854187
3,160.15218105440334,0.009221040547816138,0.9066045192030021,861,501,9.863192026122665,-5989.002666015625,0.6272070074081421
4,90.32459903630667,0.009439490478824383,0.9806414865609926,351,721,6.487421124128104,-5990.979829101562,0.2532429051399231
5,158.7941975580349,0.001536374317908398,0.9885275845389869,954,536,5.466751140621417,-5991.668833007812,0.6953472352027893
6,63.78906175599321,0.0014848964901740004,0.9015893102063975,989,975,1.2830633664178197,-5976.313090820313,0.7021639752388
7,76.90217224584876,0.003404937632125228,0.9793675175809774,444,680,6.184108128152899,-5990.9162109375,0.3163458871841431
8,135.7491274862184,0.005009272241651361,0.9066405971834659,745,934,4.335579587697611,-5986.151303710937,0.5285079765319824
9,199.10729442692082,0.007696188626655783,0.9101201347808001,703,624,8.77691204001185,-5989.473256835938,0.5066867566108704
10,170.41880970040603,0.005638331956644722,0.9355832516571958,320,667,8.197469090874,-5984.152431640625,0.23003781080245972
11,53.42185372925477,0.004053626672661935,0.9040270634663868,703,612,4.7712444393178215,-5980.805078125,0.5103555917739868
12,103.57106781805379,0.0060429492257555355,0.9841025640570145,913,802,7.587258409152347,-5991.917866210937,0.6428405094146729
13,100.52672591286543,0.002725878618397847,0.9605860547231839,709,606,8.70726887455768,-5989.8470458984375,0.5044042110443115
14,104.97951273215202,0.0038463744511613744,0.9547366167621261,917,830,7.82334868140343,-5991.077265625,0.6393400168418885
15,84.73082203722217,0.00586152265811226,0.9056500653642379,993,306,3.1720890783586815,-5970.579594726562,0.6933985209465027
16,99.20305519040315,0.008577675734570026,0.9769411466604163,557,497,8.894252580042071,-5990.310483398437,0.3939429545402527
17,102.68622777076303,0.0015667907573311453,0.9744271016313688,864,667,6.004917957379645,-5991.376528320313,0.6055629682540894
18,153.12159031016307,0.007150995572418121,0.9016916919773987,741,539,2.180085268148821,-5973.668203125,0.5213120007514953
19,74.33516935268062,0.005509105051992689,0.9369405697256556,446,362,1.114046888158892,-5961.162822265625,0.3094606423377991
20,133.61930504237603,0.006072934969834394,0.9498634531632287,973,612,4.559610142933437,-5988.07537109375,0.6830051565170288
21,136.70323176891338,0.0007045956169467024,0.9398914579826859,539,344,5.361314263527679,-5977.621591796875,0.3731673502922058
22,99.80563436668226,0.0021084285620478534,0.9672851629448577,411,500,3.1186456044511384,-5985.395395507812,0.30052636861801146
23,134.77394450392075,0.0003474342455864334,0.9572473034524644,829,933,6.607558199262155,-5990.724091796875,0.6154748964309692
24,122.07715683390771,0.0034903426399767352,0.9661790981337149,326,313,2.433215497396652,-5978.28341796875,0.23263096570968628
25,82.654686623499,0.004409262765809793,0.9572619506801883,607,741,3.04126536867357,-5984.242446289062,0.45099161863327025
26,185.55766038952308,0.0015650742691648964,0.9191280060554889,748,516,3.472787796564765,-5979.091474609375,0.5485027027130127
27,76.71497911167361,0.004008869124212035,0.956315598607081,395,562,2.637286162555201,-5982.8807373046875,0.29503134250640867
28,186.17112818851066,0.0015222312560519177,0.9107491496164175,593,532,4.291841106682427,-5980.4003125,0.44553056716918943
29,117.48050662234425,0.0038011867824406186,0.9632589251171979,713,815,8.815030244280985,-5991.010815429688,0.5270609068870544
30,71.19515045830836,0.0008322423283405932,0.9141310171838063,330,603,2.7841811689327876,-5971.564409179688,0.2609847092628479
31,88.01124418350048,0.008085333260797266,0.9792032890955905,663,932,3.691730042004363,-5991.433740234375,0.4913154077529907
32,171.39319389585654,0.006365809870402232,0.9835061683359525,757,856,2.9405676764504833,-5991.402290039063,0.5572757482528686
33,186.6808841231744,0.007268025047822174,0.9386995145278066,887,423,2.3742211510317572,-5977.31478515625,0.6637125158309937
34,195.83790400708668,0.005852346082455879,0.932422974168798,952,636,7.842782191826266,-5989.358310546875,0.6974297547340393
35,142.40871095192816,0.00826133744551517,0.9036179240242939,687,968,9.972401002462385,-5990.3582763671875,0.5121667313575745
36,75.01765801546617,0.0007663557214738592,0.9745699096771319,541,667,2.8617484750956743,-5989.1625146484375,0.4039058423042297
37,123.51007277264863,0.005809108227409681,0.9425388290342043,685,570,6.99036189287296,-5987.903393554688,0.509008777141571
38,197.02517522057914,0.003392044688015176,0.9384356867719378,640,718,6.115106474629933,-5987.475571289063,0.46513370752334593
39,183.34340217654753,0.004418610902668097,0.9176700410998173,408,426,4.971268310141631,-5975.363422851562,0.31053661108016967
40,153.19569234120303,0.0014387175374557097,0.9079569444506155,779,494,9.336628813933654,-5988.305375976563,0.6082573866844178
41,95.95672065698224,0.004314663273670749,0.9232907530304624,357,468,5.931766041201891,-5976.715502929687,0.2600700569152832
42,187.03051174902313,0.006855154665983858,0.9531106051370877,561,586,1.7747817809268585,-5982.154345703125,0.39861810207366943
43,65.39920831269072,0.003464461905337319,0.9179637879062034,698,762,6.798696308811041,-5986.9148779296875,0.4961385107040405
44,186.31102940215516,0.00562917738246841,0.9617768357195066,988,470,8.180997412025867,-5989.95783203125,0.7246419501304626
